aX,aY,aZ,gX,gY,gZ
-0.969,-1.531,-0.013,31.128,1.77,0.793
-1.082,-1.615,0.016,20.508,31.982,9.766
-1.079,-1.531,0.08,0.732,51.025,7.935
-1.006,-1.37,0.102,-37.598,80.078,6.042
-0.707,-1.02,0.211,-46.936,90.637,11.353
-0.526,-0.853,0.263,-50.72,99.304,17.822
-0.343,-0.701,0.28,-47.791,118.408,32.898
0.078,-0.498,0.213,-39.429,125.793,38.635
0.299,-0.469,0.145,-10.559,124.023,43.579
0.708,-0.572,-0.029,3.479,116.211,46.265
0.861,-0.654,-0.125,21.667,82.153,58.594
1.031,-0.827,-0.222,26.794,59.998,67.81
1.033,-0.905,-0.198,19.348,20.203,74.036
0.918,-0.944,-0.076,4.761,5.859,66.528
0.844,-0.902,-0.007,-12.329,-4.456,54.81
0.771,-0.842,0.054,-33.569,-19.104,33.813
0.617,-0.75,0.138,-32.471,-25.574,28.076
0.528,-0.755,0.167,-15.137,-35.828,20.081
0.349,-0.841,0.221,-6.165,-37.659,14.099
-0.988,-1.299,0.277,-24.109,-24.78,-63.477
-1.106,-1.207,0.333,-30.09,-27.161,-60.486
-1.253,-0.961,0.388,-28.87,-22.583,-47.424
-1.256,-0.882,0.429,-28.503,14.648,-15.32
-1.03,-0.724,0.529,-35.339,43.213,-16.113
-0.809,-0.581,0.509,-46.997,99.365,-47.363
-0.209,-0.39,0.273,-34.973,120.544,-54.077
0.118,-0.453,0.14,-9.766,133.85,-45.715
0.638,-0.797,-0.045,45.044,131.531,-1.587
0.815,-0.989,-0.077,61.829,123.291,21.24
0.958,-1.151,-0.059,55.786,106.628,45.044
1.097,-1.261,0.032,35.889,93.262,44.739
1.072,-1.198,0.08,-7.324,61.584,39.063
0.899,-1.002,0.169,-19.592,44.25,39.246
0.793,-0.922,0.215,-20.325,12.634,39.551
0.566,-0.853,0.312,-13.489,0.244,38.818
0.455,-0.865,0.359,-7.019,-9.094,38.391
0.348,-0.886,0.391,-4.517,-21.423,31.25
0.156,-0.906,0.401,-5.798,-24.414,23.254
-0.865,-1.285,0.209,6.836,-14.221,-37.17
-1.067,-1.286,0.26,5.31,-16.418,-35.645
-1.312,-1.189,0.462,7.141,-11.536,-21.667
-1.312,-1.094,0.586,-5.554,15.503,10.864
-1.201,-0.794,0.705,-20.569,35.095,15.564
-1.083,-0.648,0.657,-32.837,59.998,11.108
-0.6,-0.495,0.392,-27.649,125.549,-15.381
-0.249,-0.517,0.2,-8.85,157.104,-31.372
0.153,-0.634,0.012,46.021,192.078,-39.124
0.955,-1.091,-0.228,64.758,186.218,-22.156
1.221,-1.278,-0.28,46.387,136.108,28.198
1.354,-1.296,-0.242,17.334,104.004,41.748
1.272,-1.156,-0.162,-30.151,49.683,38.33
0.988,-0.844,0.044,-35.461,28.992,33.203
0.833,-0.755,0.151,-29.236,11.353,29.907
0.689,-0.725,0.249,-7.446,-9.888,26.978
0.433,-0.756,0.365,-1.038,-15.015,23.743
0.32,-0.782,0.39,4.517,-20.996,11.23
0.149,-0.846,0.41,6.226,-21.423,5.066
-1.163,-1.084,0.643,-2.869,-48.218,-19.287
-1.46,-1.097,0.658,20.691,-58.777,1.709
-1.698,-1.032,0.635,22.095,-41.382,16.052
-1.607,-0.897,0.642,-8.667,22.644,23.254
-1.203,-0.484,0.603,-23.376,53.101,17.578
-0.951,-0.322,0.5,-17.883,109.985,-6.104
-0.243,-0.216,0.203,4.272,135.62,-22.278
0.163,-0.306,0.068,33.936,154.48,-35.828
0.559,-0.471,-0.033,90.21,165.955,-34.546
1.169,-0.967,-0.087,106.873,157.471,-16.479
1.351,-1.195,-0.026,93.994,117.859,22.217
1.407,-1.277,0.119,65.796,93.994,27.954
1.306,-1.152,0.187,9.949,43.396,24.902
0.968,-0.903,0.295,-4.395,17.517,25.635
0.781,-0.844,0.348,-7.507,-12.451,25.513
0.447,-0.8,0.458,-3.662,-20.813,22.827
0.305,-0.797,0.509,0.671,-26.489,19.47
0.09,-0.855,0.577,6.836,-28.442,10.01
0.02,-0.89,0.587,6.348,-26.489,2.686
-1.103,-1.282,0.25,-9.521,-22.461,-25.94
-1.309,-1.288,0.275,-13.123,-22.278,-30.884
-1.479,-1.142,0.332,-15.442,-15.991,-35.828
-1.407,-1,0.386,-20.874,15.32,-45.593
-1.029,-0.665,0.504,-24.231,42.847,-40.588
-0.774,-0.539,0.503,-22.217,111.389,-11.658
-0.184,-0.536,0.365,-13.855,138.55,-7.629
0.14,-0.588,0.259,-6.348,159.851,-19.348
0.456,-0.642,0.168,4.883,174.438,-59.57
0.932,-0.815,-0.002,17.883,167.786,-60.669
1.095,-0.982,0.002,46.631,153.992,-29.48
1.243,-1.269,0.122,42.908,141.479,-13.794
1.203,-1.264,0.156,1.587,90.576,13.855
0.972,-1.098,0.231,-12.268,59.387,27.649
0.844,-1.027,0.287,-18.616,35.156,39.185
0.735,-0.967,0.336,-24.109,5.737,46.448
0.544,-0.869,0.408,-25.452,-7.751,43.579
0.447,-0.836,0.436,-21.729,-29.785,35.034
0.272,-0.813,0.47,-18.616,-35.522,31.311
-0.875,-1.156,0.232,-14.954,-29.48,-15.991
-1.007,-1.177,0.251,-18.25,-17.029,-8.301
-1.23,-1.159,0.311,-21.362,-9.583,-5.188
-1.284,-1.112,0.344,-27.771,10.62,-10.925
-1.165,-0.912,0.427,-30.579,26.917,-19.592
-1.001,-0.761,0.466,-28.748,67.993,-33.997
-0.558,-0.5,0.488,-20.142,89.172,-32.166
-0.306,-0.461,0.461,6.409,119.629,-9.644
0.202,-0.645,0.305,17.7,122.986,-0.244
0.45,-0.83,0.226,24.231,118.835,2.136
0.672,-1.009,0.169,18.433,96.191,-2.014
0.986,-1.192,0.134,8.85,88.684,2.747
1.082,-1.224,0.175,-9.766,71.411,30.457
1.088,-1.206,0.292,-21.606,56.641,42.847
1.01,-1.134,0.341,-49.438,24.231,46.997
0.827,-0.92,0.427,-57.922,8.85,41.992
0.744,-0.823,0.472,-60.059,-3.54,37.476
0.663,-0.758,0.511,-49.316,-21.545,36.438
0.487,-0.725,0.549,-41.687,-29.358,35.217
-0.932,-1.115,0.175,-1.404,3.174,-34.119
-1.014,-1.107,0.206,3.967,17.761,-24.17
-1.028,-1.069,0.286,3.906,29.602,-15.625
-0.963,-1.017,0.313,-3.723,59.692,-8.667
-0.679,-0.873,0.307,-6.226,77.759,-11.292
-0.463,-0.821,0.273,-5.188,96.68,-14.648
0.084,-0.845,0.159,7.568,125.732,-13.489
0.384,-0.899,0.102,14.893,128.967,-7.507
0.643,-0.946,0.036,23.071,111.633,17.883
0.969,-1.017,-0.019,26.489,100.464,36.499
1.037,-1.08,0.018,29.968,67.261,61.768
1.032,-1.147,0.126,19.958,52.673,59.326
1.006,-1.088,0.16,3.357,40.649,48.645
0.968,-0.999,0.185,-19.348,13,30.457
0.853,-0.884,0.259,-20.752,-0.488,28.931
0.785,-0.861,0.295,-17.822,-22.888,27.1
0.643,-0.852,0.329,-15.991,-32.776,22.034
0.575,-0.853,0.331,-12.878,-45.41,5.92
0.448,-0.853,0.332,-11.902,-48.889,0.183
-1.016,-1.172,-0.006,-1.282,-0.977,-35.4
-1.037,-1.161,0.034,-5.981,19.043,-40.588
-0.907,-1.058,0.182,-10.742,33.02,-42.786
-0.788,-0.972,0.247,-18.555,64.026,-37.048
-0.438,-0.806,0.337,-17.7,79.773,-28.809
-0.225,-0.751,0.346,-6.775,103.943,-0.122
0.209,-0.8,0.274,1.343,110.657,16.479
0.423,-0.876,0.222,7.446,112.366,26.917
0.749,-0.984,0.12,10.254,104.065,26.062
0.874,-1.027,0.125,9.888,101.624,22.339
0.971,-1.062,0.152,7.08,77.759,16.113
1.031,-1.06,0.195,2.991,62.012,17.029
1.005,-1.044,0.215,-5.188,33.264,29.053
0.886,-1.019,0.242,-8.606,16.724,33.02
0.817,-1.004,0.256,-11.78,2.075,32.776
0.751,-0.991,0.278,-16.052,-18.921,24.719
0.616,-0.964,0.32,-16.724,-28.564,19.897
0.542,-0.948,0.334,-16.052,-43.457,15.198
0.386,-0.926,0.353,-15.503,-48.889,16.357
-0.982,-1.079,0.145,-18.005,7.812,-49.561
-1.036,-1.037,0.174,-12.817,26.855,-46.265
-1.025,-0.942,0.208,-9.033,38.757,-42.419
-0.962,-0.898,0.22,-2.38,65.613,-36.987
-0.701,-0.812,0.23,-0.244,80.2,-34.729
-0.495,-0.793,0.213,3.906,106.934,-27.222
0.011,-0.877,0.123,6.836,115.051,-21.301
0.255,-0.955,0.078,9.094,117.493,-14.221
0.641,-1.095,0.033,8.911,109.619,2.686
0.794,-1.153,0.038,6.897,103.882,9.705
0.909,-1.193,0.06,-0.366,89.966,12.756
1,-1.195,0.162,-6.409,77.515,12.329
0.983,-1.16,0.208,-22.034,44.25,15.564
0.877,-1.072,0.281,-29.236,29.846,17.273
0.814,-1.022,0.318,-38.086,5.127,16.357
0.693,-0.938,0.372,-39.246,-5.127,16.113
0.63,-0.919,0.388,-38.94,-13.977,17.334
0.563,-0.917,0.396,-36.011,-29.114,18.982
0.429,-0.924,0.397,-35.217,-34.79,16.785
-0.824,-1.114,0.167,-5.676,7.874,-19.592
-0.902,-1.108,0.167,-0.732,18.921,-25.269
-0.934,-1.023,0.182,-2.014,24.536,-26.794
-0.907,-0.935,0.177,-9.338,34.241,-35.156
-0.797,-0.76,0.172,-8.301,40.405,-40.527
-0.685,-0.701,0.206,6.287,58.472,-44.678
-0.318,-0.669,0.26,14.954,67.871,-41.687
-0.107,-0.716,0.228,23.01,74.402,-34.912
0.081,-0.812,0.173,37.048,79.285,-14.221
0.41,-1.103,0.087,37.231,80.2,-7.935
0.573,-1.214,0.056,18.494,85.022,-17.761
0.891,-1.302,0.08,8.667,86.182,-25.452
1.008,-1.302,0.139,-5.798,72.144,-18.311
1.069,-1.265,0.251,-13.794,56.152,-3.967
1.03,-1.225,0.286,-23.621,38.94,11.169
0.9,-1.092,0.364,-42.969,8.179,29.358
0.829,-1.02,0.395,-48.279,-5.676,32.166
0.765,-0.962,0.419,-47.791,-26.062,30.823
0.645,-0.889,0.445,-44.495,-33.447,27.71
